ID	EMOTION
1246947010420387840	non optimism
1305192085490864128	optimism
1242586824817676294	optimism
1229386465379000322	optimism
1247043404304986113	optimism
1246220210480308229	optimism
1265170963974553601	optimism
1256671944554024960	optimism
1236648062673735682	optimism
1271895882452082689	non optimism
1236066014464442368	non optimism
1246221196829458433	non optimism
1243577370994450437	optimism
1243637242830237698	optimism
1240768121155325953	non optimism
1253793719154692096	optimism
1241860715721494535	non optimism
1259583417882226690	optimism
1327746353640988675	non optimism
1253102532949352448	optimism
1246871503465074688	optimism
1311010411584589825	optimism
1247302318783107072	optimism
1246565703655849985	optimism
1242599320077074440	non optimism
1266083806504800262	optimism
1261438649461207043	optimism
1246720571049562112	non optimism
1243720988220514310	optimism
1229173910677151746	optimism
1244581009678450695	non optimism
1226445240996966400	optimism
1227318752221581319	non optimism
1247033795158540288	optimism
1317761398823321601	non optimism
1237076160724578309	non optimism
1313573121551724552	non optimism
1240973578889289735	non optimism
1240003776792199169	optimism
1238592287455604736	non optimism
1251155365393084420	optimism
1321594907044302855	non optimism
1227839713152655360	optimism
1324480038201397251	optimism
1258489276184047623	optimism
1240761939703132161	optimism
1248386632283066368	non optimism
1229822263366565888	non optimism
1263162405376290816	optimism
1264068152964628480	optimism
1243607084748304384	non optimism
1264433989542121473	non optimism
1245621771543277571	optimism
1244773036697534466	non optimism
1263167792569888768	optimism
1258036482725609473	optimism
1227696167326113792	optimism
1253803936001089536	optimism
1236066591101640704	non optimism
1264438383612395521	non optimism
1244756346756571138	non optimism
1254815889784004619	optimism
1228331404964089856	optimism
1296189583919439873	non optimism
1240340703806287873	non optimism
1285615401280339968	optimism
1242566940025065472	non optimism
1285569954012700672	optimism
1246219956087410688	optimism
1260279808296136709	optimism
1238527789076111361	non optimism
1253789042812076034	optimism
1253070924523470849	optimism
1246208465472757766	non optimism
1243683533740269568	optimism
1243633151408312320	non optimism
1244110452532998144	non optimism
1294249100658061322	non optimism
1240363820259868673	non optimism
1254174886874034176	non optimism
1264267623988109324	optimism
1249472750651092999	non optimism
1252013684743966721	non optimism
1255238285494038535	optimism
1327263825171603456	non optimism
1324475110452056067	optimism
1237864940850958344	non optimism
1235333525278203907	non optimism
1286800113302732802	non optimism
1227240009222234112	optimism
1236435906128760832	non optimism
1329106247874977803	non optimism
1254521711820759045	optimism
1321907248231256066	non optimism
1244774037328408576	non optimism
1232962688805953537	non optimism
1236939012817879040	non optimism
1282785636454473729	non optimism
1228966109354676224	optimism
